Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Magnetic field x (µT),Magnetic field y (µT),Magnetic field z (µT),Status
0.002266777,-1.136946559,-0.082300685,9.380781174,0.000665141,-0.003325704,0.004256901,0.051711082,0.002871364,-0.423142433,26.60625076,32.19375229,-16.70625114,Good
0.012398777,-1.136946559,-0.063147068,9.208698273,-0.00359176,-0.001596338,-0.00359176,0.051692128,0.003740489,-0.422987938,26.40000153,32.60625076,-17.4375,Good
0.112398777,-1.117792964,-0.082300685,9.323320389,0.002926619,0.002926619,-0.004922042,0.044507623,0.003220543,-0.366444588,26.55000114,32.4375,-17.19375038,Good
0.212398777,-1.136946559,-0.082300685,9.361627579,0.00146331,0.001330281,-0.000133028,0.046931744,0.003339469,-0.388149261,26.51250076,32.51250076,-16.875,Good
0.312398777,-1.136946559,-0.082300685,9.342473984,-0.003990844,-0.002394507,-0.003857816,0.045271277,0.003221303,-0.37495327,26.47500038,32.40000153,-17.15625,Good
0.412398777,-1.136946559,-0.082300685,9.361627579,-0.00212845,0.002394507,-0.001995422,0.045842528,0.003250971,-0.378248215,26.49375153,32.41875076,-17.04375076,Good
0.512398777,-1.136946559,-0.101454295,9.342473984,-0.003857816,-0.002394507,-0.002261479,0.045987844,0.003244877,-0.377532005,26.49375153,32.47500229,-17.10000038,Good
0.612398777,-1.136946559,-0.082300685,9.361627579,0.000266056,-0.003458732,-0.001596338,0.045943499,0.003092475,-0.377803802,26.51250076,32.30625153,-17.0625,Good
0.712398777,-1.156100154,-0.063147068,9.342473984,-0.004655985,-0.001330281,-0.004123873,0.045945525,0.003219031,-0.378490448,26.51250076,32.41875076,-17.11875153,Good
0.812398777,-1.117792964,-0.063147068,9.342473984,-0.000133028,-0.004922042,-0.002261479,0.045964956,0.00312452,-0.378669739,26.56875038,32.26875305,-17.00625038,Good
0.912398777,-1.136946559,-0.043993454,9.342473984,-0.004123873,-0.000798169,0.000931197,0.046231985,0.002801262,-0.381010056,26.55000114,32.4375,-16.96875,Good
1.012398777,-1.136946559,-0.063147068,9.361627579,-0.002527535,-0.000665141,-0.002527535,0.046322942,0.002617612,-0.381958008,26.47500038,32.38125229,-16.85625076,Good
1.112398777,-1.136946559,-0.043993454,9.342473984,-0.004389929,0.000266056,-0.001197253,0.046528578,0.002477456,-0.383435249,26.64375114,32.53125,-16.96875,Good
1.212398777,-1.136946559,-0.063147068,9.304166794,0.001862394,-0.00146331,-0.00146331,0.04689014,0.002427243,-0.385837555,26.41875076,32.45625305,-16.95000076,Good
1.312398777,-1.136946559,-0.063147068,9.342473984,0.000266056,-0.004922042,-0.003857816,0.045433998,0.0023444,-0.388623238,26.58750153,32.32500076,-17.08125114,Good
1.412398777,-1.136946559,-0.063147068,9.342473984,-0.000665141,-0.002926619,0.004522957,0.043902755,0.000889678,-0.38954258,26.49375153,32.38125229,-17.10000038,Good
1.512398777,-1.175253749,-0.063147068,9.342473984,0.003059648,-0.000798169,0.002527535,0.041069984,-0.00156036,-0.390004158,26.43750191,32.47500229,-17.04375076,Good
1.612398777,-1.156100154,-0.063147068,9.342473984,0.000532113,0.002660563,0.001995422,0.038390279,-0.003474467,-0.389697075,26.62500191,32.68125153,-17.15625,Good
1.712398777,-1.136946559,-0.063147068,9.342473984,-0.001330281,0.000798169,-0.001596338,0.038543344,-0.003933854,-0.38808918,26.41875076,32.60625076,-17.13750076,Good
1.812398777,-1.136946559,-0.082300685,9.342473984,0.003990844,0.003990844,0,0.037241459,-0.003857285,-0.385715485,26.56875038,32.4375,-17.13750076,Good
1.912398777,-1.156100154,-0.043993454,9.342473984,0.001330281,-0.000798169,-0.00212845,0.036399245,-0.003704146,-0.386481285,26.49375153,32.34375,-16.96875,Good
2.012398777,-1.117792964,-0.063147068,9.323320389,0.001729366,0.00212845,0.003059648,0.039308906,-0.002479121,-0.387553215,26.47500038,32.45625305,-16.93125153,Good
2.112398777,-1.117792964,-0.063147068,9.380781174,0.001995422,-0.000532113,0.000931197,0.044362187,-0.002019741,-0.38701725,26.47500038,32.23125076,-16.98750114,Good
2.212398777,-1.136946559,-0.063147068,9.342473984,0.00359176,0.002793591,0,0.048649788,-0.004163548,-0.385180473,26.40000153,32.32500076,-16.89375114,Good
2.312398777,-1.136946559,-0.082300685,9.342473984,-0.001064225,0.002793591,-0.000133028,0.04941535,-0.005388565,-0.385716438,26.41875076,32.30625153,-16.93125153,Good
2.412398777,-1.079485655,-0.063147068,9.438241959,-0.00146331,-0.000266056,-0.003724788,0.052784204,-0.00600107,-0.38380146,26.53125191,32.51250076,-17.19375038,Good
2.512398777,-1.156100154,-0.063147068,9.323320389,0.004389929,0.000665141,0.002527535,0.054238915,-0.005311996,-0.381887436,26.49375153,32.75625229,-17.30625153,Good
2.612398777,-1.136946559,-0.063147068,9.342473984,-0.00359176,0.000532113,-0.003059648,0.051941872,-0.002861954,-0.386404991,26.45625114,32.625,-17.28750038,Good
2.712398777,-1.136946559,-0.063147068,9.342473984,0.000133028,-0.00359176,0.002926619,0.051252842,-0.00209631,-0.387935638,26.40000153,32.625,-16.98750114,Good
2.812398777,-1.136946559,-0.101454295,9.361627579,0.003990844,0.002261479,-0.004655985,0.051482677,-0.001866624,-0.386787415,26.51250076,32.51250076,-17.15625,Good
2.912398777,-1.117792964,-0.043993454,9.304166794,-0.001596338,0.000532113,-0.002527535,0.050640464,-0.00209631,-0.388242722,26.43750191,32.51250076,-17.19375038,Good
3.012398777,-1.117792964,-0.043993454,9.342473984,-0.001995422,0.001729366,0.000399084,0.049721718,-0.004699491,-0.391533852,26.45625114,32.53125,-17.10000038,Good
3.112398777,-1.117792964,-0.063147068,9.323320389,0.001729366,0.001729366,0.003990844,0.052018642,-0.00554169,-0.391992569,26.45625114,32.53125,-17.41875076,Good
3.212398777,-1.117792964,-0.063147068,9.342473984,0.000133028,0.001995422,0.003192676,0.054468632,-0.006307341,-0.393370628,26.47500038,32.58750153,-17.02500153,Good
3.312398777,-1.136946559,-0.063147068,9.361627579,0.001064225,-0.001330281,-0.004522957,0.056076407,-0.006154209,-0.393141747,26.41875076,32.47500229,-16.89375114,Good
3.412398777,-1.117792964,-0.082300685,9.342473984,0.003458732,0.002793591,0.001995422,0.05584681,-0.00722611,-0.391533852,26.41875076,32.32500076,-17.10000038,Good
3.512398777,-1.117792964,-0.063147068,9.342473984,0.004655985,0.004655985,-0.003059648,0.053472996,-0.009140201,-0.388930321,26.49375153,32.53125,-17.11875153,Good
3.612398777,-1.117792964,-0.043993454,9.342473984,-0.004123873,0.00212845,-0.002926619,0.051405907,-0.006383903,-0.388932228,26.47500038,32.68125153,-17.40000153,Good
3.712398777,-1.136946559,-0.063147068,9.361627579,0.000133028,-0.004655985,-0.000133028,0.048649549,-0.003244773,-0.387401581,26.51250076,32.47500229,-17.23125076,Good
3.812398777,-1.136946559,-0.082300685,9.361627579,-0.003857816,0.000133028,0.000133028,0.046812177,-0.002708822,-0.385716438,26.53125191,32.68125153,-17.34375,Good
3.912398777,-1.136946559,-0.063147068,9.323320389,-0.000798169,0.004389929,-0.004789013,0.046659231,-0.000565033,-0.386786461,26.53125191,32.56875229,-17.25,Good
4.012398777,-1.136946559,-0.082300685,9.342473984,-0.00359176,0.001862394,0.003857816,0.046659112,-0.00140724,-0.386940002,26.41875076,32.38125229,-17.17500114,Good
4.112398777,-1.136946559,-0.063147068,9.342473984,-0.000798169,-0.003990844,0.000798169,0.046276212,-0.004929192,-0.385638237,26.47500038,32.49375153,-17.26875114,Good
4.212398777,-1.136946559,-0.063147068,9.342473984,-0.000665141,0.003724788,-0.004256901,0.046276212,-0.007915184,-0.384950638,26.58750153,32.45625305,-17.04375076,Good
4.312398777,-1.156100154,-0.082300685,9.361627579,0.004389929,-0.002261479,0.00359176,0.046735883,-0.010748044,-0.385792732,26.36250114,32.51250076,-16.91250038,Good
4.412398777,-1.117792964,-0.101454295,9.438241959,0.000665141,0.000798169,-0.003458732,0.046659112,-0.014040299,-0.382346153,26.49375153,32.56875229,-17.10000038,Good
4.512398777,-1.117792964,-0.063147068,9.342473984,0.001064225,-0.001596338,0,0.048573256,-0.016107529,-0.37767601,26.36250114,32.68125153,-17.15625,Good
4.612398777,-1.136946559,-0.082300685,9.342473984,-0.000665141,0.003857816,-0.001729366,0.050640345,-0.016873166,-0.376067162,26.43750191,32.53125,-17.13750076,Good
4.712398777,-1.136946559,-0.082300685,9.342473984,-0.003990844,0.004789013,0.002261479,0.050946593,-0.018481009,-0.375302315,26.62500191,32.70000076,-17.34375,Good
4.812398777,-1.117792964,-0.063147068,9.342473984,-0.001330281,-0.003857816,0.003059648,0.050333977,-0.015877828,-0.375148773,26.60625076,32.51250076,-17.08125114,Good
4.912398777,-1.136946559,-0.082300685,9.361627579,-0.004789013,0.000399084,-0.001995422,0.050410748,-0.012509003,-0.377139091,26.49375153,32.56875229,-16.81875038,Good
5.012398777,-1.136946559,-0.063147068,9.361627579,-0.002793591,0.003990844,0.002394507,0.048956156,-0.010441773,-0.378594398,26.45625114,32.49375153,-17.38125038,Good
5.112398777,-1.136946559,-0.063147068,9.323320389,-0.001729366,0.000399084,-0.001862394,0.047884345,-0.008068301,-0.378978729,26.53125191,32.45625305,-17.23125076,Good
5.212398777,-1.09863925,-0.043993454,9.361627579,0.001862394,0.001995422,-0.003990844,0.051635981,-0.00209631,-0.379053116,26.56875038,32.4375,-17.00625038,Good
5.312398777,-1.136946559,-0.063147068,9.323320389,0.002261479,-0.003059648,-0.001995422,0.053550005,-0.000641588,-0.379666328,26.43750191,32.51250076,-17.11875153,Good
5.412398777,-1.117792964,-0.063147068,9.342473984,-0.002660563,0.001729366,-0.004256901,0.053779721,0.00050687,-0.381274223,26.41875076,32.41875076,-17.60625076,Good
5.512398777,-1.156100154,-0.063147068,9.342473984,0.004389929,0.002261479,-0.00146331,0.053550005,0.002191272,-0.383111954,26.36250114,32.56875229,-17.73750114,Good
5.612398777,-1.136946559,-0.063147068,9.323320389,0.003458732,-0.000399084,-0.002793591,0.052324772,0.004028808,-0.386787415,26.53125191,32.73750305,-17.85000038,Good
5.712398777,-1.117792964,-0.063147068,9.380781174,-0.003857816,0.000798169,0.001596338,0.051252961,0.001808453,-0.388624191,26.55000114,32.71875,-17.79375076,Good
5.812398777,-1.136946559,-0.101454295,9.323320389,0.001862394,0.000399084,-0.001862394,0.050104618,-0.002938516,-0.390078545,26.43750191,32.56875229,-18.01875114,Good
5.912398777,-1.136946559,-0.063147068,9.342473984,0.002261479,0.004389929,0.003059648,0.048802972,-0.007379226,-0.390920639,26.43750191,32.66250229,-17.92500114,Good
6.012398777,-1.136946559,-0.063147068,9.323320389,-0.002527535,-0.002394507,-0.00212845,0.047424555,-0.0121262,-0.395439148,26.43750191,32.41875076,-17.08125114,Good
6.112398777,-1.136946559,-0.082300685,9.323320389,-0.004922042,-0.000665141,-0.002527535,0.045969844,-0.014499679,-0.398426056,26.40000153,32.51250076,-17.10000038,Good
6.212398777,-1.136946559,-0.043993454,9.361627579,-0.002394507,-0.001995422,0.00146331,0.044209003,-0.015112184,-0.398809433,26.49375153,32.4375,-17.11875153,Good
6.312398777,-1.136946559,-0.063147068,9.342473984,0.000665141,-0.003857816,0.001995422,0.043137193,-0.012662135,-0.396895409,26.43750191,32.64375305,-17.36250114,Good
6.412398777,-1.136946559,-0.043993454,9.361627579,-0.003325704,0.001995422,-0.003458732,0.043367028,-0.008451119,-0.394750595,26.49375153,32.41875076,-17.17500114,Good
6.512398777,-1.117792964,-0.063147068,9.342473984,-0.002394507,-0.001862394,0.002926619,0.046199799,-0.002019763,-0.391457558,26.49375153,32.49375153,-16.98750114,Good
6.612398777,-1.175253749,-0.063147068,9.304166794,0.004789013,0.002261479,-0.002527535,0.046735644,-0.001177549,-0.388701439,26.34375191,32.32500076,-17.32500076,Good
6.712398777,-1.00317049,-0.139761522,9.648932457,0.001330281,-0.001995422,0.002527535,0.046252251,0.002611786,-0.381573677,26.45625114,32.53125,-17.13750076,Good
6.812398777,-1.136946559,-0.043993454,9.323320389,0.003458732,0.000798169,0.000931197,0.046205521,0.002640039,-0.382035255,26.47500038,32.68125153,-17.60625076,Good
6.912398777,-1.156100154,-0.063147068,9.323320389,0.004256901,-0.000266056,0.004256901,0.047279716,0.002776414,-0.390295982,26.55000114,32.83125305,-17.4375,Good
7.012398777,-1.136946559,-0.082300685,9.342473984,-0.003724788,0.003458732,-0.000266056,0.047386765,0.002835058,-0.390860558,26.40000153,32.55000305,-17.38125038,Good
7.112398777,-1.136946559,-0.063147068,9.342473984,-0.000133028,0.003059648,-0.000798169,0.047089815,0.002797872,-0.388895035,26.45625114,32.60625076,-17.25,Good
7.212398777,-1.136946559,-0.063147068,9.361627579,-0.000133028,0.003990844,0.001729366,0.047441125,0.00269939,-0.391601563,26.41875076,32.58750153,-17.21250153,Good
7.312398777,-1.136946559,-0.063147068,9.342473984,-0.004789013,0.003325704,-0.002527535,0.047345638,0.002646446,-0.390022278,26.45625114,32.625,-17.0625,Good
7.412398777,-1.136946559,-0.082300685,9.361627579,-0.002793591,0.003325704,-0.003192676,0.046560287,0.002614945,-0.384217262,26.43750191,32.55000305,-16.875,Good
7.512398777,-1.136946559,-0.082300685,9.342473984,0.004655985,0.000532113,0.001064225,0.046560287,0.002614945,-0.384217262,26.38125038,32.55000305,-17.19375038,Good
7.612398777,-1.117792964,-0.082300685,9.438241959,0.002660563,-0.001064225,-0.003857816,0.046362042,0.002627723,-0.382494926,26.45625114,32.58750153,-17.56875038,Good
7.712398777,-1.117792964,-0.063147068,9.342473984,-0.001995422,0.000798169,0.004389929,0.046141148,0.002727471,-0.380743027,26.60625076,32.60625076,-17.4375,Good
7.812398777,-1.136946559,-0.082300685,9.361627579,0.00359176,-0.001995422,0.001862394,0.045901895,0.002772488,-0.3796978,26.41875076,32.625,-17.25,Good
7.912398777,-1.156100154,-0.043993454,9.361627579,-0.003192676,0.001862394,-0.004389929,0.045992613,0.002147481,-0.378586769,26.47500038,32.66250229,-17.55000114,Good
8.012398777,-1.136946559,-0.082300685,9.342473984,-0.000532113,-0.00359176,0.002660563,0.045992494,0.001305282,-0.377667427,26.47500038,32.58750153,-17.19375038,Good
8.112398777,-1.136946559,-0.101454295,9.342473984,-0.001330281,0.003458732,-0.003990844,0.045533061,-0.00099165,-0.378509521,26.43750191,32.60625076,-17.38125038,Good
8.212398777,-1.136946559,-0.043993454,9.361627579,0.003325704,0.004389929,0.001596338,0.041704893,-0.000838511,-0.383947372,26.62500191,32.71875,-17.47500038,Good
8.312398777,-1.136946559,-0.082300685,9.342473984,-0.002926619,-0.000532113,0.000931197,0.03948462,-0.000532247,-0.384864807,26.47500038,32.60625076,-17.38125038,Good
8.412398777,-1.136946559,-0.063147068,9.342473984,-0.00146331,0.000665141,0.002527535,0.038642645,-0.00214009,-0.386548996,26.51250076,32.53125,-17.25,Good
8.512398777,-1.136946559,-0.063147068,9.323320389,0.000665141,-0.003458732,0.003724788,0.038566232,-0.002829179,-0.388692856,26.28750038,32.71875,-17.10000038,Good
8.612398777,-1.136946559,-0.063147068,9.342473984,0.002394507,-0.001729366,-0.001729366,0.038948774,0.000386484,-0.389610291,26.53125191,32.49375153,-17.15625,Good
8.712398777,-1.136946559,-0.063147068,9.361627579,-0.004655985,0.002926619,0.001596338,0.040020585,0.001764648,-0.389151573,26.56875038,32.49375153,-16.91250038,Good
8.812398777,-1.117792964,-0.063147068,9.323320389,-0.000399084,0,0.004389929,0.041245699,0.00291311,-0.389229774,26.53125191,32.34375,-16.83750153,Good
8.912398777,-1.136946559,-0.063147068,9.342473984,0.002926619,0.001862394,-0.002394507,0.042164564,0.004674092,-0.389458656,26.53125191,32.49375153,-16.89375114,Good
9.012398777,-1.136946559,-0.063147068,9.342473984,-0.003192676,-0.003990844,-0.001862394,0.042470813,0.009114798,-0.38876915,26.58750153,32.45625305,-17.0625,Good
9.112398777,-1.117792964,-0.043993454,9.342473984,0.00212845,-0.002527535,0.001862394,0.043312907,0.012330476,-0.388156891,26.51250076,32.28750229,-16.76250076,Good
9.212398777,-1.136946559,-0.043993454,9.361627579,0.004389929,-0.00359176,0.003192676,0.044308305,0.015010223,-0.386548042,26.53125191,32.55000305,-17.85000038,Good
9.312398777,-1.136946559,-0.063147068,9.361627579,0.003059648,-0.001596338,0.004922042,0.044384718,0.016464945,-0.383256912,26.43750191,32.90625,-17.96250153,Good
9.412398777,-1.136946559,-0.082300685,9.361627579,-0.003325704,-0.002527535,0.000133028,0.044308305,0.017230589,-0.381266594,26.41875076,32.55000305,-17.34375,Good
9.512398777,-1.136946559,-0.043993454,9.342473984,0,0.004256901,0.00359176,0.044997334,0.017996226,-0.378814697,26.53125191,32.51250076,-17.34375,Good
9.612398777,-1.136946559,-0.063147068,9.361627579,0.000532113,0.004655985,0,0.04591608,0.017766532,-0.377205849,26.26875114,32.41875076,-17.23125076,Good
9.712398777,-1.136946559,-0.082300685,9.342473984,-0.001064225,-0.003458732,-0.001729366,0.046758413,0.015469618,-0.377053261,26.43750191,32.41875076,-17.00625038,Good
9.812398777,-1.117792964,-0.082300685,9.342473984,0.004522957,-0.000532113,-0.000266056,0.046758413,0.011641417,-0.378967285,26.40000153,32.25,-17.19375038,Good
9.912398777,-1.09863925,-0.082300685,9.323320389,-0.002527535,0.003857816,0.001596338,0.048978567,0.004520953,-0.381955147,26.47500038,32.47500229,-17.26875114,Good
10.01239878,-1.136946559,-0.101454295,9.342473984,0.000798169,-0.003724788,0.004123873,0.050203562,0.001075581,-0.381879807,26.51250076,32.30625153,-17.23125076,Good
10.11239878,-1.117792964,-0.082300685,9.323320389,-0.002394507,0.004789013,-0.000931197,0.05012691,-0.003058881,-0.382185936,26.36250114,32.36250305,-16.93125153,Good
10.21239878,-1.136946559,-0.063147068,9.342473984,-0.00359176,-0.002261479,0.000266056,0.049514532,-0.005049542,-0.382796288,26.40000153,32.34375,-16.78125,Good
10.31239878,-1.136946559,-0.063147068,9.342473984,-0.001330281,-0.003990844,0.00146331,0.048595905,-0.001374476,-0.382184029,26.38125038,32.625,-17.26875114,Good
10.41239878,-1.117792964,-0.043993454,9.342473984,-0.001995422,0.001729366,-0.001862394,0.047523975,0.002300598,-0.382338524,26.58750153,32.53125,-17.10000038,Good
10.51239878,-1.136946559,-0.063147068,9.342473984,0.001596338,0.000532113,0.000399084,0.046528578,0.005822547,-0.382722855,26.45625114,32.41875076,-16.98750114,Good
10.61239878,-1.136946559,-0.043993454,9.361627579,-0.001862394,-0.004389929,0.000665141,0.044384718,0.008578859,-0.382107735,26.49375153,32.25,-16.91250038,Good
10.71239878,-1.136946559,-0.043993454,9.323320389,-0.000798169,0.001596338,-0.000665141,0.042011261,0.014397718,-0.382797241,26.53125191,32.45625305,-17.21250153,Good
